,time,model_I,model_R,model_V,model_I_vega,model_R_vega,model_V_vega
68,2458556,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
69,2458557,13.365284214067405,13.049256321934156,14.032229495374548,12.915284214067405,12.839256321934155,14.012229495374548
70,2458558,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
71,2458559,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
72,2458560,13.62881126328202,13.283659553487762,14.375886976130257,13.178811263282022,13.073659553487762,14.355886976130257
73,2458561,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
74,2458562,13.543211540762673,13.20286186693853,14.256889663039896,13.093211540762674,12.99286186693853,14.236889663039896
75,2458563,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
76,2458564,13.364957238167964,13.0515309620238,14.033389384994546,12.914957238167965,12.8415309620238,14.013389384994547
77,2458565,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
78,2458566,13.488573013147626,13.15211806300685,14.183905304652708,13.038573013147627,12.942118063006848,14.163905304652708
79,2458567,13.59264201599468,13.244261667633449,14.321386880460548,13.142642015994682,13.034261667633448,14.301386880460548
80,2458568,13.63338983939035,13.285841282095856,14.380886342511001,13.183389839390351,13.075841282095855,14.360886342511002
81,2458569,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
82,2458570,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
83,2458571,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
84,2458572,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
85,2458573,13.431633571236201,13.098659919028616,14.108964189499208,12.981633571236202,12.888659919028616,14.088964189499208
86,2458574,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
87,2458575,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
88,2458576,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
89,2458577,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
